Date,S&P500_Close,S&P500_Volume,AAL_Close,AAL_Volume,ALGT_Close,ALGT_Volume,ALK_Close,ALK_Volume,DAL_Close,DAL_Volume,HA_Close,HA_Volume,LUV_Close,LUV_Volume,BCS_Close,BCS_Volume,CS_Close,CS_Volume,DB_Close,DB_Volume,GS_Close,GS_Volume,MS_Close,MS_Volume,WFC_Close,WFC_Volume,BHC_Close,BHC_Volume,JNJ_Close,JNJ_Volume,MRK_Close,MRK_Volume,PFE_Close,PFE_Volume,RHHBY_Close,RHHBY_Volume,UNH_Close,UNH_Volume,AAPL_Close,AAPL_Volume,AMZN_Close,AMZN_Volume,GOOG_Close,GOOG_Volume,IBM_Close,IBM_Volume,MSFT_Close,MSFT_Volume,FB_Close,FB_Volume
24-01-2020,3295.469971,3707130000,27.639999,18067800,173,127700,66.720001,1127200,58.810001,10989500,29.02,823300,56.549999,7995100,9,3990900,13.46,1794200,8.57,8226100,241.919998,2877400,54.549999,9752000,47.57,21239600,28.4,4813100,148.320007,9051900,85.980003,14270000,39.82,32394400,41.200001,2152300,292.809998,3678500,79.577499,146537600,1861.640015,3766200,1466.709961,1784600,140.559998,5580200,165.039993,24918100,217.940002,11905800
27-01-2020,3243.629883,3823100000,26.110001,21573800,166.690002,260200,65.339996,1778300,56.830002,13090200,27.43,973700,56.25,8275100,8.84,3123400,13.12,2556300,8.54,5431100,238.139999,2506200,53.110001,10649100,47.099998,18156200,28.35,2189100,148.75,7587100,86.099998,10350700,40.16,30326400,40.970001,1806700,284.089996,4399400,77.237503,161940000,1828.339966,3528500,1433.900024,1755200,138.619995,4166600,162.279999,32078100,214.869995,13810700
28-01-2020,3276.23999,3526720000,26.9,11939200,170.759995,164500,65.540001,2214700,57.48,6343700,27.58,520600,57.599998,6242300,8.92,1980200,13.01,2395400,8.67,3801300,242.580002,3123000,54.02,9232900,47.369999,16673300,29.209999,2438300,149.5,7336600,86.25,9061400,38.139999,66605700,41.189999,1439800,285.869995,4341000,79.422501,162234000,1853.25,2808000,1452.560059,1577400,139.550003,3451600,165.460007,24899900,217.789993,13413800
29-01-2020,3273.399902,3584500000,26.799999,9088700,163.160004,321400,66.889999,2466200,56.650002,5662000,27.290001,515200,56.889999,6666000,8.89,2088700,13.03,1472700,8.77,5691300,240.119995,3711600,53.68,9027800,47.27,16166300,29.15,1879600,150.539993,6288600,87.239998,8121400,37.580002,32415300,41.470001,787300,282.899994,3963800,81.084999,216229200,1858,2088000,1458.630005,1077700,137.690002,3053800,168.039993,34754500,223.229996,33181300
30-01-2020,3283.659912,3787250000,27.719999,10685500,169.729996,244100,66.010002,2127200,57.099998,5980700,27.9,732200,55.830002,5129600,9.02,2850200,13,3124000,9.3,11896500,244.130005,3261700,53.82,8685900,47.91,14760200,28.35,2394100,150.360001,6470600,86.5,10511900,37.07,30660900,42.509998,1334300,280.980011,4211800,80.967499,126743200,1870.680054,6327400,1455.839966,1339400,136.770004,5057900,172.779999,51597500,209.529999,48775500
31-01-2020,3225.52002,4527830000,26.84,11027900,168.039993,224700,64.589996,1581600,55.740002,9320800,27.879999,917500,54.98,5552100,8.8,2346000,12.61,3970600,9.15,8241800,237.75,3482800,52.259998,11286900,46.939999,23080400,27.43,4708200,148.869995,8651700,85.440002,9180900,37.240002,32157500,41.799999,1661500,272.450012,5532600,77.377502,199588400,2008.719971,15567300,1434.22998,2417200,143.729996,18994600,170.229996,36142700,201.910004,31359900
03-02-2020,3248.919922,3757910000,27.16,7631900,165.740005,202700,64.650002,1696900,56.040001,7499000,27.6,902800,55.220001,4071100,8.76,2654300,12.52,1855200,8.96,5670300,239.009995,2733000,52.599998,8375600,47.119999,15472000,27.92,2371600,150.169998,5765200,87.339996,9286100,37.509998,19806200,41.869999,808300,274.019989,5646800,77.165001,173985600,2004.199951,5899100,1485.939941,3055200,146.270004,8887500,174.380005,30149100,204.190002,15510500
04-02-2020,3297.590088,3995320000,28.43,10832900,171.009995,141300,65.769997,1513900,57.93,6880800,29.190001,787100,55.68,3619400,8.87,4178300,12.71,1815900,8.99,4722000,241.940002,3052500,54.02,9375100,47.259998,14973300,28.82,3472600,151.600006,6541400,88.360001,14400100,37.689999,29554900,42.389999,1234900,280.839996,4290200,79.712502,136616400,2049.669922,5289300,1447.069946,3933000,149.110001,5621000,180.119995,36433300,209.830002,19628900
05-02-2020,3334.689941,4117730000,29.1,8959700,171.740005,170500,66.330002,1332200,58.889999,6067000,29.969999,744100,56.950001,3162700,8.98,2100900,12.98,2305700,9.11,5814500,244.300003,3126600,54.990002,8237500,48.310001,20141800,29.059999,2037500,153.990005,5979900,85.830002,27948600,38.169998,27935000,43.560001,1055000,295.730011,5761000,80.362503,118826800,2039.869995,4376200,1448.22998,1986200,156.330002,14386800,179.899994,39186300,210.110001,12538200
06-02-2020,3345.780029,3868370000,28.299999,8335800,167.779999,115800,64.019997,1531100,58.18,5210200,28.780001,838100,57.720001,4332000,9.08,2009000,13.09,1680100,10.37,23345400,241.820007,2225600,55.009998,6976900,47.98,18259200,28.92,1382100,153.529999,6201200,85.68,15372300,38.259998,19969400,43.43,1189200,292.459991,3044000,81.302498,105425600,2050.22998,3183000,1476.22998,1679400,156.759995,8400500,183.630005,27751400,210.850006,10567500
